year,quarter,CFO,CFF,CFI,ending_cash_balance,net_change_in_cash,revenue,cost_of_goods_sold,gross_profit,net_income,operating_expenses,operating_income,accounts_receivable,inventory,accounts_payable,tax_expense,interest_expense,total_assets,total_equity,total_liabilities,da_expense,EBITDA
2022,Q4,1376851,-117328,-325992,4525505,933531,4667333,2966665,1700668,895582,945237,1061653,2651672,2830700,1834752,-187568,-14150,25706169,19566906,6139263,355745,1417398
2023,Q1,54360,-106928,-116423,4333797,-168991,4245677,2969756,1275921,371373,822210,440843,2623536,3027664,1296305,-96797,-13456,25438126,19938279,5499847,331438,772281
2023,Q2,-102913,-653625,-101608,3475667,-858146,3724340,2568270,1156070,327059,772641,387570,2822668,3099309,1217600,-87552,-12666,24906388,19716366,5190022,331021,718591
2023,Q3,1436443,-129150,-9415,4781451,1297878,4957674,3301104,1656570,568835,987992,686390,2870758,2870454,1258341,-152270,-11993,25783330,20285201,5498129,352166,1038556
2023,Q4,2097155,-2205014,-1489329,3185373,-1597188,5022065,3263901,1758164,682999,1043351,767255,2741975,2904699,1712761,-109463,-22388,29649645,20969511,8680134,359815,1127070
2024,Q1,-526481,-118302,-26794,2519995,-671577,4082568,2902396,1180172,238029,876564,313857,2601752,2979053,1312506,-59988,-48115,28774000,21207540,7566460,371300,685157
2024,Q2,205028,-780832,-109462,1841030,-685266,4042170,2923969,1118201,196679,858407,261963,2721557,2879413,1190963,-48466,-44058,27745880,20806840,6939040,385391,647354
2024,Q3,1504158,-443148,-191289,2703756,869721,5195936,3411327,1784609,621221,987042,804757,2889394,2728451,1333704,-165571,-46497,28523897,21239954,7283943,394358,1199115
2024,Q4,2165348,-245392,-136551,4496547,1783405,5228060,3250087,1977973,952018,1003093,1012845,2838219,2593061,1790625,-181046,-42892,30420006,22114350,8305656,391910,1404755
2025,Q1,63538,-170970,-198360,4195220,-305792,3975728,2856061,1119667,210675,847322,253423,2690284,2721052,1447689,-48996,-44581,30096122,22325025,7771097,380426,633849
2025,Q2,473103,-1026932,-204766,3429293,-758595,4057088,2834874,1222214,284082,857211,348795,2719928,2669979,1328670,-73104,-41971,29111723,21741464,7370259,367126,715921
2025,Q3,1119115,-430375,-389863,3737394,298877,4883365,3180374,1702991,568345,994444,711331,3002207,2532176,1373370,-148552,-44801,29889945,22048294,7841651,403421,1114752
2025,Q4,2152390,-203722,185033,5872748,2133701,4815007,3090006,1725001,1185679,984058,723396,2751091,2176751,1608597,-216900,-41183,31725343,23203101,8522242,411910,1135306
